category,cumulative_weeks_in_top_10,weekly_hours_viewed,season_title,weekly_rank,show_title,date_added,week
Films (Non-English),2,3360000,null,7,David and the Elves,2022-01-04,2021-12-19
Films (Non-English),1,15830000,null,1,Spoiled Brats,2022-01-04,2021-11-28
TV (English),3,29020000,Midnight Mass: Limited Series,5,Midnight Mass,2022-01-04,2021-10-10
Films (English),2,7580000,null,9,Dead Man Down,2022-01-04,2021-08-15
Films (English),7,12140000,null,7,Red Notice,2022-01-04,2021-12-26
Films (Non-English),2,2110000,null,6,Thalaivii,2022-01-04,2021-10-10
Films (Non-English),1,3170000,null,4,My Father's Violin,2022-01-25,2022-01-23
TV (Non-English),2,17940000,Elves: Season 1,5,Elves,2022-01-04,2021-12-05
Films (Non-English),1,1220000,null,8,Thimmarusu,2022-01-04,2021-09-05
Films (English),1,7380000,null,3,What Happens in Vegas,2022-01-04,2021-10-24
TV (Non-English),4,6840000,Lupin: Part 2,10,Lupin,2022-01-04,2021-07-25
TV (Non-English),2,21780000,Elite: Season 4,2,Elite,2022-01-04,2021-07-11
TV (Non-English),8,39750000,Café con aroma de mujer: Season 1,2,Café con aroma de mujer,2022-02-22,2022-02-20
TV (Non-English),1,8810000,The Queen of Flow: Season 1,8,The Queen of Flow,2022-01-04,2021-11-21
TV (Non-English),6,7800000,"Yo soy Betty, la fea: Season 1",10,"Yo soy Betty, la fea",2022-01-04,2021-11-21
Films (English),3,9930000,null,5,SAS: Rise of the Black Swan,2022-01-04,2021-09-12
TV (Non-English),5,15640000,The King's Affection: Season 1,4,The King's Affection,2022-01-04,2021-11-21
Films (Non-English),3,4640000,null,4,The Whole Truth,2022-01-04,2021-12-19
TV (Non-English),15,10400000,Carinha de Anjo: Season 1,10,Carinha de Anjo,2022-02-01,2022-01-30
TV (English),6,22640000,The Witcher: Season 2,7,The Witcher,2022-01-25,2022-01-23
TV (English),2,29650000,Grey's Anatomy: Season 17,4,Grey's Anatomy,2022-01-04,2021-10-10
TV (English),1,11480000,Dive Club: Season 1,9,Dive Club,2022-01-04,2021-09-12
TV (English),2,17360000,On My Block: Season 4,8,On My Block,2022-01-04,2021-10-17
TV (Non-English),1,26340000,Neymar: The Perfect Chaos: Limited Series,4,Neymar: The Perfect Chaos,2022-02-01,2022-01-30
Films (English),1,21050000,null,2,Home Team,2022-02-01,2022-01-30
TV (Non-English),5,9030000,"Nevertheless,: Season 1",8,"Nevertheless,",2022-01-04,2021-08-22
Films (Non-English),1,1120000,null,10,Pinkfong & Baby Shark's Space Adventure,2022-01-04,2021-09-05
TV (Non-English),1,10360000,Aranyak: Season 1,8,Aranyak,2022-01-04,2021-12-19
TV (English),3,94270000,The Witcher: Season 2,2,The Witcher,2022-01-04,2022-01-02
Films (English),1,9240000,null,7,The Twilight Saga: Breaking Dawn: Part 2,2022-01-04,2021-07-25
Films (English),1,9220000,null,8,The Twilight Saga: Eclipse,2022-01-04,2021-07-25
TV (Non-English),7,12750000,"Newly Rich, Newly Poor: Season 1",4,"Newly Rich, Newly Poor",2022-01-04,2021-08-15
Films (English),2,10860000,null,8,The Secret Life of Pets,2022-01-04,2021-08-29
TV (Non-English),2,24000000,Daughter From Another Mother: Season 2,4,Daughter From Another Mother,2022-01-04,2022-01-02
Films (English),2,20410000,null,1,Venom,2022-01-04,2021-10-17
Films (English),3,8970000,null,9,Bruised,2022-01-04,2021-12-12
Films (English),2,58560000,null,2,Love Hard,2022-01-04,2021-11-14
Films (English),2,7300000,null,6,Pokémon the Movie: Secrets of the Jungle,2022-01-04,2021-10-17
Films (English),1,7640000,null,7,St. Vincent,2022-02-22,2022-02-20
TV (Non-English),2,10110000,The Seven Deadly Sins: Dragon's Judgement,7,The Seven Deadly Sins,2022-01-04,2021-07-11
Films (English),1,4950000,null,9,Going in Style,2022-01-04,2021-10-17
Films (English),2,32730000,null,2,SAS: Rise of the Black Swan,2022-01-04,2021-09-05
TV (Non-English),1,7020000,null,9,Chiquititas,2022-01-04,2021-08-01
TV (Non-English),4,412940000,Squid Game: Season 1,1,Squid Game,2022-01-04,2021-10-10
Films (Non-English),3,1370000,null,6,Perfect Strangers,2022-02-08,2022-02-06
TV (English),2,12200000,null,7,jeen-yuhs: A Kanye Trilogy,2022-03-09,2022-03-06
TV (Non-English),2,21460000,Toy Boy: Season 1,5,Toy Boy,2022-02-22,2022-02-20
TV (English),1,12520000,Scaredy Cats: Season 1,10,Scaredy Cats,2022-01-04,2021-10-10
TV (Non-English),1,20090000,Baki Hanma: Season 1,6,Baki Hanma,2022-01-04,2021-10-03
Films (English),1,6450000,null,10,Untold: Malice at the Palace,2022-01-04,2021-08-15
TV (Non-English),3,38580000,My Name: Season 1,2,My Name,2022-01-04,2021-10-31
Films (Non-English),1,7340000,null,1,Invasion,2022-01-04,2021-09-05
Films (English),1,6230000,null,10,Green Lantern,2022-01-04,2021-09-05
Films (English),1,7770000,null,9,6 Underground,2022-01-04,2021-11-21
Films (Non-English),1,2950000,null,6,Security,2022-01-04,2021-07-04
TV (English),1,10340000,Titans: Season 1,8,Titans,2022-01-04,2021-12-19
Films (Non-English),5,5510000,null,4,Through My Window,2022-03-09,2022-03-06
