category,cumulative_weeks_in_top_10,weekly_hours_viewed,season_title,weekly_rank,show_title,date_added,week
TV (Non-English),6,11950000,The Cook of Castamar: Season 1,5,The Cook of Castamar,2022-01-04,2021-08-15
Films (English),2,26170000,null,2,The Kissing Booth 3,2022-01-04,2021-08-22
Films (English),1,12980000,null,4,13 Hours: The Secret Soldiers of Benghazi,2022-02-08,2022-02-06
TV (English),4,11050000,CoComelon: Season 3,7,CoComelon,2022-01-04,2021-09-05
Films (English),1,9370000,null,6,Spider-Man: Homecoming,2022-01-04,2021-12-19
Films (Non-English),2,6570000,null,1,Black Island,2022-01-04,2021-08-29
Films (Non-English),2,1250000,null,9,Fierce,2022-02-08,2022-02-06
TV (Non-English),16,18110000,Squid Game: Season 1,6,Squid Game,2022-01-04,2022-01-02
Films (Non-English),3,2270000,null,2,Out of my league,2022-01-04,2021-09-05
Films (Non-English),1,2150000,null,9,Rurouni Kenshin: Origins,2022-01-04,2021-07-04
TV (English),1,9590000,Good Girls: Season 1,9,Good Girls,2022-01-04,2021-09-05
TV (Non-English),1,11610000,The Fame Game: Season 1,6,The Fame Game,2022-03-09,2022-03-06
Films (Non-English),3,1840000,null,9,The Stronghold,2022-01-04,2021-10-03
TV (English),3,16110000,Too Hot to Handle: Season 2,10,Too Hot to Handle,2022-01-04,2021-07-18
Films (English),2,10520000,null,8,Journey 2: The Mysterious Island,2022-01-11,2022-01-09
TV (English),2,96340000,Ozark: Season 4 Part 1,1,Ozark,2022-02-01,2022-01-30
Films (English),5,5570000,null,5,My Little Pony: A New Generation,2022-01-04,2021-10-24
Films (Non-English),3,3310000,null,5,The Trip,2022-01-04,2021-10-31
TV (English),1,22220000,Archive 81: Season 1,7,Archive 81,2022-01-18,2022-01-16
TV (English),1,142430000,The Witcher: Season 2,1,The Witcher,2022-01-04,2021-12-19
TV (English),3,11100000,Selling Sunset: Season 4,10,Selling Sunset,2022-01-04,2021-12-12
TV (English),3,22020000,The Woman in the House Across the Street from the Girl in the Window: Season 1,6,The Woman in the House Across the Street from the Girl in the Window,2022-02-15,2022-02-13
TV (Non-English),1,14870000,Money Heist: Part 4,4,Money Heist,2022-01-04,2021-09-05
Films (English),2,9470000,null,3,Security,2022-01-04,2021-10-17
TV (Non-English),2,10420000,"Devotion, a Story of Love and Desire: Season 1",10,"Devotion, a Story of Love and Desire",2022-03-01,2022-02-27
TV (Non-English),2,27030000,Ganglands: Season 1,4,Ganglands,2022-01-04,2021-10-03
Films (English),2,19550000,null,1,Fear Street Part 1: 1994,2022-01-04,2021-07-11
Films (English),1,31870000,null,1,Night Teeth,2022-01-04,2021-10-24
TV (English),2,14540000,For Life: Season 1,5,For Life,2022-01-04,2021-08-22
Films (English),3,8430000,null,8,The Christmas Chronicles,2022-01-04,2021-12-19
TV (Non-English),4,12900000,The Chestnut Man: Season 1,7,The Chestnut Man,2022-01-04,2021-10-24
Films (Non-English),3,9820000,null,2,Spoiled Brats,2022-01-04,2021-12-12
Films (Non-English),2,4570000,null,6,Bartkowiak,2022-01-04,2021-08-08
TV (Non-English),1,19780000,The Girl from Oslo: Season 1,4,The Girl from Oslo,2022-01-04,2021-12-26
Films (English),4,6290000,null,5,Wish Dragon,2022-01-04,2021-08-01
TV (Non-English),3,14240000,Elite: Season 4,4,Elite,2022-01-04,2021-07-18
Films (Non-English),1,18060000,null,2,The Privilege,2022-02-15,2022-02-13
TV (Non-English),1,15940000,Fishbowl Wives: Season 1,7,Fishbowl Wives,2022-02-22,2022-02-20
Films (Non-English),1,3250000,null,3,Kung Fu Hustle,2022-01-04,2021-09-12
Films (English),1,6870000,null,9,Alvin and the Chipmunks: Chipwrecked,2022-01-04,2021-08-22
Films (Non-English),3,1030000,null,9,Xtreme,2022-01-04,2021-09-26
Films (English),1,5050000,null,10,World Trade Center,2022-01-04,2021-08-08
TV (English),7,9110000,Ozark: Season 4 Part 1,10,Ozark,2022-03-09,2022-03-06
Films (English),1,8960000,null,6,Abominable,2022-02-22,2022-02-20
Films (Non-English),2,4890000,null,5,El infierno,2022-01-04,2021-08-15
TV (Non-English),2,16400000,Control Z: Season 2,2,Control Z,2022-01-04,2021-08-15
Films (Non-English),1,5990000,null,4,Minnal Murali,2022-01-04,2021-12-26
Films (Non-English),2,2440000,null,9,UFO,2022-03-09,2022-03-06
TV (Non-English),3,11210000,Ganglands: Season 1,7,Ganglands,2022-01-04,2021-10-10
Films (Non-English),1,2050000,null,8,Lost Bullet,2022-01-25,2022-01-23
Films (English),2,10590000,null,5,Wish Dragon,2022-01-04,2021-07-11
TV (English),3,14140000,Raising Dion: Season 1,8,Raising Dion,2022-02-22,2022-02-20
Films (Non-English),4,2510000,null,7,Minnal Murali,2022-01-18,2022-01-16
TV (English),4,10090000,Hit & Run: Season 1,10,Hit & Run,2022-01-04,2021-08-29
TV (English),1,18890000,Cocaine Cowboys: The Kings of Miami: Limited Series,5,Cocaine Cowboys: The Kings of Miami,2022-01-04,2021-08-08
TV (Non-English),8,12410000,Carinha de Anjo: Season 1,7,Carinha de Anjo,2022-01-04,2021-11-28
TV (Non-English),2,67520000,Hellbound: Season 1,2,Hellbound,2022-01-04,2021-11-28
Films (Non-English),1,11930000,null,1,The Wasteland,2022-01-11,2022-01-09
TV (English),2,107810000,Cobra Kai: Season 4,1,Cobra Kai,2022-01-11,2022-01-09
Films (English),2,16800000,null,4,The Secret Life of Pets 2,2022-01-25,2022-01-23
Films (Non-English),1,2260000,null,10,Sinkhole,2022-01-04,2021-11-28
TV (Non-English),2,26880000,The Snitch Cartel: Origins: Season 1,1,The Snitch Cartel: Origins,2022-01-04,2021-08-08
TV (Non-English),5,11280000,null,5,Carrossel,2022-01-04,2021-08-08
Films (Non-English),2,16860000,null,1,Love Tactics,2022-02-22,2022-02-20
Films (Non-English),2,9490000,null,2,The Stronghold,2022-01-04,2021-09-26
Films (English),2,15870000,null,5,Aftermath,2022-01-04,2021-08-15
TV (English),1,17740000,Manifest: Season 3,3,Manifest,2022-01-04,2021-08-29
TV (English),3,45000000,Sex/Life: Season 1,3,Sex/Life,2022-01-04,2021-07-18
Films (Non-English),3,2100000,null,3,The Secret Diary of an Exchange Student,2022-01-04,2021-09-05
Films (English),3,7470000,null,7,Tall Girl 2,2022-03-01,2022-02-27
Films (English),2,9910000,null,4,Downfall: The Case Against Boeing,2022-03-01,2022-02-27
Films (Non-English),4,2060000,null,8,Anonymously Yours,2022-01-04,2022-01-02
TV (English),2,13950000,Cobra Kai: Season 3,10,Cobra Kai,2022-01-18,2022-01-16
Films (Non-English),5,2830000,null,8,Major Grom: Plague Doctor,2022-01-11,2022-01-09
TV (English),2,23810000,Titans: Season 3,3,Titans,2022-01-04,2021-12-19
Films (English),1,30730000,null,2,Against The Ice,2022-03-09,2022-03-06
TV (Non-English),2,16720000,Money Heist: Part 4,4,Money Heist,2022-01-04,2021-09-12
TV (Non-English),8,31840000,Hometown Cha-Cha-Cha: Season 1,4,Hometown Cha-Cha-Cha,2022-01-04,2021-10-24
TV (Non-English),1,7940000,"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc",9,Demon Slayer: Kimetsu no Yaiba,2022-01-04,2021-11-07
Films (English),2,12050000,null,6,Intrusion,2022-01-04,2021-10-03
TV (English),5,13470000,Arcane: Season 1,7,Arcane,2022-01-04,2021-12-12
Films (English),1,7640000,null,9,Twilight,2022-01-04,2021-07-18
Films (English),3,14370000,null,3,Fear Street Part 1: 1994,2022-01-04,2021-07-18
TV (Non-English),5,7650000,"Yo soy Betty, la fea: Season 1",9,"Yo soy Betty, la fea",2022-01-04,2021-11-14
TV (English),1,61080000,Maid: Limited Series,2,Maid,2022-01-04,2021-10-03
Films (English),1,10310000,null,9,Seal Team,2022-01-11,2022-01-09
Films (English),3,7900000,null,2,Venom,2022-01-04,2021-10-24
Films (English),3,7620000,null,7,Army of the Dead,2022-01-04,2021-11-14
TV (English),1,14230000,Selling Tampa: Season 1,5,Selling Tampa,2022-01-04,2021-12-19
Films (English),1,7030000,null,10,The Vanishing,2022-02-22,2022-02-20
TV (Non-English),2,82980000,Café con aroma de mujer: Season 1,1,Café con aroma de mujer,2022-01-11,2022-01-09
TV (English),1,17090000,School of Chocolate: Season 1,6,School of Chocolate,2022-01-04,2021-12-05
TV (English),1,48850000,True Story: Limited Series,1,True Story,2022-01-04,2021-11-28
Films (Non-English),2,4410000,null,4,Meenakshi Sundareshwar,2022-01-04,2021-11-14
TV (Non-English),1,16960000,The Cook of Castamar: Season 1,3,The Cook of Castamar,2022-01-04,2021-07-11
Films (English),2,38990000,null,2,Back to the Outback,2022-01-04,2021-12-19
TV (English),1,13790000,For Life: Season 1,6,For Life,2022-01-04,2021-08-15
Films (Non-English),9,1120000,null,7,Blood Red Sky,2022-01-04,2021-09-26
TV (English),4,52590000,You: Season 3,1,You,2022-01-04,2021-11-07
TV (English),1,19970000,Dynasty: Season 4,6,Dynasty,2022-01-04,2021-10-24
Films (English),2,21460000,null,4,Hotel Transylvania 3: Summer Vacation,2022-01-04,2021-08-15
TV (English),4,18180000,Arcane: Season 1,5,Arcane,2022-01-04,2021-12-05
TV (Non-English),12,13150000,Hometown Cha-Cha-Cha: Season 1,6,Hometown Cha-Cha-Cha,2022-01-04,2021-11-21
TV (Non-English),4,15010000,Dark Desire: Season 2,4,Dark Desire,2022-03-01,2022-02-27
TV (English),1,26240000,Outer Banks: Season 1,4,Outer Banks,2022-01-04,2021-08-01
Films (English),2,71610000,null,1,Army of Thieves,2022-01-04,2021-11-07
TV (English),3,130800000,Inventing Anna: Limited Series,1,Inventing Anna,2022-03-01,2022-02-27
TV (Non-English),1,9630000,Hometown Cha-Cha-Cha: Season 1,7,Hometown Cha-Cha-Cha,2022-01-04,2021-09-05
TV (English),8,28120000,Manifest: Season 1,6,Manifest,2022-01-18,2022-01-16
Films (English),1,13820000,null,6,Single All The Way,2022-01-04,2021-12-05
Films (English),1,16750000,null,5,Britney Vs Spears,2022-01-04,2021-10-03
TV (English),8,23920000,Maid: Limited Series,4,Maid,2022-01-04,2021-11-21
TV (English),2,27380000,Sex Education: Season 1,4,Sex Education,2022-01-04,2021-09-26
TV (Non-English),7,51840000,Café con aroma de mujer: Season 1,2,Café con aroma de mujer,2022-02-15,2022-02-13
TV (English),1,33080000,Selling Sunset: Season 4,3,Selling Sunset,2022-01-04,2021-11-28
TV (Non-English),2,8580000,How to Sell Drugs Online (Fast): Season 3,8,How to Sell Drugs Online (Fast),2022-01-04,2021-08-08
TV (English),1,17000000,Virgin River: Season 2,9,Virgin River,2022-01-04,2021-07-18
TV (Non-English),7,8130000,"Yo soy Betty, la fea: Season 1",8,"Yo soy Betty, la fea",2022-01-04,2021-11-28
Films (English),1,4870000,null,10,A Perfect Enemy,2022-02-01,2022-01-30
Films (Non-English),2,3200000,null,6,Outlaws,2022-01-04,2021-12-05
TV (Non-English),10,11230000,Carinha de Anjo: Season 1,7,Carinha de Anjo,2022-01-04,2021-12-12
TV (Non-English),1,7070000,Money Heist: Part 3,10,Money Heist,2022-01-04,2021-09-05
TV (English),4,24770000,Ozark: Season 4 Part 1,4,Ozark,2022-02-15,2022-02-13
TV (English),2,16430000,Tiger King 2,8,Tiger King,2022-01-04,2021-11-28
Films (English),1,27200000,null,1,The Power of the Dog,2022-01-04,2021-12-05
TV (English),2,17210000,Ozark: Season 3,9,Ozark,2022-02-08,2022-02-06
TV (Non-English),6,65860000,Café con aroma de mujer: Season 1,2,Café con aroma de mujer,2022-02-08,2022-02-06
TV (English),2,21870000,Pokémon Journeys: The Series: Season 1,5,Pokémon Journeys: The Series,2022-01-04,2021-07-11
TV (English),4,42890000,The Witcher: Season 1,4,The Witcher,2022-01-04,2022-01-02
Films (English),3,8100000,null,9,Afterlife of the Party,2022-01-04,2021-09-19
Films (English),1,24770000,null,2,The Princess Switch 3: Romancing the Star,2022-01-04,2021-11-21
Films (English),1,6710000,null,10,Battleship,2022-03-09,2022-03-06
Films (English),1,7460000,null,10,The Huntsman: Winter's War,2022-01-04,2021-07-11
TV (English),4,31800000,Outer Banks: Season 2,1,Outer Banks,2022-01-04,2021-08-22
TV (English),5,11810000,The Good Doctor: Season 1,10,The Good Doctor,2022-01-04,2021-08-15
TV (English),1,23050000,You: Season 1,5,You,2022-01-04,2021-10-17
Films (Non-English),3,3540000,null,6,Bordertown: Mural Murders,2022-01-04,2021-12-19
Films (Non-English),3,5080000,null,5,Minnal Murali,2022-01-11,2022-01-09
TV (English),1,13070000,Crime Scene: The Times Square Killer: Limited Series,9,Crime Scene: The Times Square Killer,2022-01-04,2022-01-02
TV (English),4,28320000,Virgin River: Season 3,3,Virgin River,2022-01-04,2021-08-01
TV (English),2,179000000,You: Season 3,1,You,2022-01-04,2021-10-24
Films (English),1,10270000,null,5,Titanic,2022-01-04,2021-10-10
TV (English),1,15570000,Narcos: Mexico: Season 1,8,Narcos: Mexico,2022-01-04,2021-11-14
TV (Non-English),1,13970000,The War Next-door: Season 1,4,The War Next-door,2022-01-04,2021-07-11
Films (English),1,47600000,null,1,The Guilty,2022-01-04,2021-10-03
TV (Non-English),5,10820000,My Name: Season 1,5,My Name,2022-01-04,2021-11-14
TV (English),3,12260000,Lucifer: Season 5,7,Lucifer,2022-01-04,2021-09-12
TV (Non-English),3,7710000,"Yo soy Betty, la fea: Season 1",9,"Yo soy Betty, la fea",2022-01-04,2021-10-24
Films (English),2,36730000,null,1,He's All That,2022-01-04,2021-09-05
Films (Non-English),1,6030000,null,4,Fever Dream,2022-01-04,2021-10-17
TV (Non-English),1,7860000,The Club: Part 1,8,The Club,2022-01-04,2021-11-14
TV (Non-English),6,10810000,The Queen of Flow: Season 1,8,The Queen of Flow,2022-01-04,2021-12-26
TV (English),6,10010000,Arcane: Season 1,9,Arcane,2022-01-04,2021-12-19
TV (Non-English),2,13840000,Our Beloved Summer: Season 1,9,Our Beloved Summer,2022-01-04,2022-01-02
Films (Non-English),1,7130000,null,3,Confessions of an Invisible Girl,2022-01-04,2021-09-26
Films (English),1,7790000,null,9,The Christmas Chronicles: Part Two,2022-01-04,2021-12-05
TV (Non-English),5,19740000,Our Beloved Summer: Season 1,4,Our Beloved Summer,2022-01-25,2022-01-23
TV (Non-English),1,12070000,Undercover: Season 1,8,Undercover,2022-01-18,2022-01-16
TV (Non-English),3,113240000,All of Us Are Dead: Season 1,1,All of Us Are Dead,2022-02-15,2022-02-13
TV (Non-English),2,11080000,Fishbowl Wives: Season 1,8,Fishbowl Wives,2022-03-01,2022-02-27
Films (English),2,15860000,null,6,The Croods,2022-01-04,2021-11-28
TV (Non-English),17,14980000,Squid Game: Season 1,8,Squid Game,2022-01-11,2022-01-09
TV (Non-English),6,147560000,Squid Game: Season 1,1,Squid Game,2022-01-04,2021-10-24
Films (Non-English),3,7730000,null,3,Chernobyl 1986,2022-03-09,2022-03-06
Films (Non-English),1,4700000,null,4,Prayers for the Stolen,2022-01-04,2021-11-21
TV (Non-English),1,9990000,Luis Miguel - The Series: Season 3,7,Luis Miguel - The Series,2022-01-04,2021-10-31
Films (English),1,29180000,null,2,Texas Chainsaw Massacre,2022-02-22,2022-02-20
TV (Non-English),5,16700000,"Newly Rich, Newly Poor: Season 1",2,"Newly Rich, Newly Poor",2022-01-04,2021-08-01
TV (Non-English),3,19250000,Single’s Inferno: Season 1,4,Single’s Inferno,2022-01-18,2022-01-16
Films (English),1,8370000,null,8,The Kissing Booth 2,2022-01-04,2021-08-15
TV (Non-English),2,14920000,Gone for Good: Limited Series,4,Gone for Good,2022-01-04,2021-08-22
Films (English),1,21940000,null,3,Vivo,2022-01-04,2021-08-08
Films (English),1,7690000,null,6,Kung Fu Panda 3,2022-01-04,2021-07-04
Films (English),1,26590000,null,3,Fast & Furious Presents: Hobbs & Shaw,2022-01-04,2021-12-26
TV (English),5,10690000,CoComelon: Season 3,10,CoComelon,2022-01-04,2021-10-03
TV (English),1,19590000,Sharkdog: Season 1,5,Sharkdog,2022-01-04,2021-09-12
Films (English),5,12430000,null,4,Back to the Outback,2022-01-11,2022-01-09
TV (English),4,16240000,Lucifer: Season 5,6,Lucifer,2022-01-04,2021-09-19
Films (English),1,26820000,null,3,A Boy Called Christmas,2022-01-04,2021-11-28
TV (Non-English),9,18290000,Hometown Cha-Cha-Cha: Season 1,5,Hometown Cha-Cha-Cha,2022-01-04,2021-10-31
TV (Non-English),3,39910000,Money Heist: Part 5,2,Money Heist,2022-01-04,2021-09-19
TV (Non-English),6,19870000,Money Heist: Part 1,3,Money Heist,2022-01-04,2021-12-12
TV (English),2,33420000,Too Hot to Handle: Season 2,3,Too Hot to Handle,2022-01-04,2021-07-11
TV (English),2,20850000,The Cuphead Show!: Season 1,5,The Cuphead Show!,2022-03-01,2022-02-27
Films (English),2,26580000,null,1,The Royal Treatment,2022-02-01,2022-01-30
TV (English),1,24480000,Ozark: Season 1,5,Ozark,2022-01-25,2022-01-23
TV (English),1,133120000,You: Season 3,1,You,2022-01-04,2021-10-17
Films (English),1,12310000,null,6,The Equalizer 2,2022-01-04,2021-09-19
TV (Non-English),5,8700000,Alice in Borderland: Season 1,8,Alice in Borderland,2022-01-04,2021-10-24
Films (English),1,9250000,null,6,Grown Ups,2022-01-04,2021-09-26
TV (Non-English),1,9820000,Young Royals: Season 1,8,Young Royals,2022-01-04,2021-07-11
TV (English),2,13710000,CoComelon: Season 4,10,CoComelon,2022-01-04,2021-10-31
TV (English),1,9550000,Lucifer: Season 3,10,Lucifer,2022-01-04,2021-07-04
TV (Non-English),3,15950000,Our Beloved Summer: Season 1,7,Our Beloved Summer,2022-01-11,2022-01-09
TV (English),2,17360000,Ozark: Season 2,8,Ozark,2022-02-08,2022-02-06
Films (Non-English),2,15160000,null,2,Vicky and Her Mystery,2022-01-04,2022-01-02
Films (Non-English),4,2610000,null,6,How I Fell in Love with a Gangster,2022-02-01,2022-01-30
TV (Non-English),1,16470000,How to Sell Drugs Online (Fast): Season 3,3,How to Sell Drugs Online (Fast),2022-01-04,2021-08-01
Films (English),1,9790000,null,8,Redemption Day,2022-01-04,2021-12-12
Films (English),3,7850000,null,5,The Secret Life of Pets 2,2022-02-01,2022-01-30
TV (English),4,31200000,Sex/Life: Season 1,3,Sex/Life,2022-01-04,2021-07-25
Films (Non-English),6,3120000,null,6,Major Grom: Plague Doctor,2022-01-18,2022-01-16
TV (English),6,41290000,Maid: Limited Series,2,Maid,2022-01-04,2021-11-07
TV (Non-English),5,10400000,Dark Desire: Season 2,10,Dark Desire,2022-03-09,2022-03-06
Films (English),1,7160000,null,8,Just Like Heaven,2022-03-09,2022-03-06
TV (Non-English),5,6920000,Elite: Season 4,10,Elite,2022-01-04,2021-08-01
Films (Non-English),4,3340000,null,6,The Last Mercenary,2022-01-04,2021-08-22
Films (Non-English),1,1410000,null,10,Lassie Come Home,2022-01-04,2021-09-12
TV (English),6,13220000,Virgin River: Season 3,7,Virgin River,2022-01-04,2021-08-15
TV (English),4,14990000,All American: Season 3,4,All American,2022-01-04,2021-08-22
Films (Non-English),3,3830000,null,7,Vicky and Her Mystery,2022-01-11,2022-01-09
Films (Non-English),3,4000000,null,5,Sooryavanshi,2022-01-04,2021-12-19
Films (Non-English),5,2780000,null,7,The Whole Truth,2022-01-04,2022-01-02
TV (English),3,44890000,Virgin River: Season 3,2,Virgin River,2022-01-04,2021-07-25
TV (Non-English),10,33470000,Money Heist: Part 5,1,Money Heist,2022-01-04,2021-12-26
Films (English),1,42490000,null,1,The Royal Treatment,2022-01-25,2022-01-23
TV (Non-English),2,14460000,The Queen of Flow: Season 1,5,The Queen of Flow,2022-01-04,2021-11-28
TV (Non-English),6,24020000,All of Us Are Dead: Season 1,3,All of Us Are Dead,2022-03-09,2022-03-06
Films (Non-English),2,11550000,null,2,The Trip,2022-01-04,2021-10-24
Films (English),3,13390000,null,4,Sweet Girl,2022-01-04,2021-09-05
Films (Non-English),5,2870000,null,7,The Claus Family,2022-01-04,2021-12-05
Films (English),1,40530000,null,3,Love Hard,2022-01-04,2021-11-07
Films (English),1,6850000,null,8,Despicable Me,2022-02-08,2022-02-06
Films (English),4,6320000,null,10,Resort to Love,2022-01-04,2021-08-22
TV (English),1,18980000,The Good Doctor: Season 1,7,The Good Doctor,2022-01-04,2021-07-18
Films (Non-English),4,1540000,null,9,The Trip,2022-01-04,2021-11-07
Films (Non-English),1,7120000,null,3,Out of my league,2022-01-04,2021-08-22
TV (English),4,42120000,Sex Education: Season 3,3,Sex Education,2022-01-04,2021-10-10
Films (Non-English),1,9000000,null,3,Stuck Together,2022-01-04,2021-10-24
Films (English),2,12590000,null,4,Man on Fire,2022-01-04,2021-09-26
TV (English),4,11760000,Raising Dion: Season 2,9,Raising Dion,2022-03-01,2022-02-27
Films (Non-English),1,8150000,null,1,Vicky and Her Mystery,2022-01-04,2021-12-26
TV (English),5,12180000,Lucifer: Season 5,10,Lucifer,2022-01-04,2021-09-26
Films (Non-English),2,3140000,null,4,JJ+E,2022-01-04,2021-09-19
Films (English),1,13180000,null,5,Transformers: The Last Knight,2022-01-04,2021-11-07
Films (English),1,11110000,null,6,Munich – The Edge of War,2022-01-25,2022-01-23
TV (English),2,15660000,Manifest: Season 3,4,Manifest,2022-01-04,2021-09-05
Films (Non-English),1,21460000,null,1,The Forgotten Battle,2022-01-04,2021-10-17
Films (Non-English),1,4400000,null,7,Bigbug,2022-02-15,2022-02-13
TV (Non-English),1,6660000,Elves: Season 1,10,Elves,2022-01-04,2021-11-28
TV (English),8,12490000,You: Season 3,10,You,2022-01-04,2021-12-05
TV (Non-English),2,30300000,The Chestnut Man: Season 1,4,The Chestnut Man,2022-01-04,2021-10-10
TV (English),7,17070000,You: Season 3,7,You,2022-01-04,2021-11-28
Films (English),1,148720000,null,1,Red Notice,2022-01-04,2021-11-14
Films (Non-English),4,2610000,null,6,Stuck Together,2022-01-04,2021-11-14
Films (English),5,9510000,null,6,The Tinder Swindler,2022-03-09,2022-03-06
TV (English),1,49090000,Raising Dion: Season 2,2,Raising Dion,2022-02-08,2022-02-06
Films (Non-English),3,7570000,null,2,The Last Mercenary,2022-01-04,2021-08-15
TV (Non-English),14,15430000,Squid Game: Season 1,4,Squid Game,2022-01-04,2021-12-19
Films (English),2,20370000,null,3,The Lost Daughter,2022-01-11,2022-01-09
Films (English),2,8870000,null,9,Kung Fu Panda 3,2022-01-04,2021-07-11
Films (English),1,13160000,null,5,Nightbooks,2022-01-04,2021-09-19
TV (Non-English),2,25800000,Single’s Inferno: Season 1,4,Single’s Inferno,2022-01-11,2022-01-09
Films (Non-English),1,3310000,null,10,Lost Paradise,2022-03-01,2022-02-27
Films (Non-English),2,4750000,null,2,Four to Dinner,2022-01-18,2022-01-16
Films (Non-English),1,6760000,null,2,The Claus Family,2022-01-04,2021-11-07
Films (English),2,7560000,null,6,Fistful of Vengeance,2022-03-01,2022-02-27
TV (Non-English),13,8410000,"Newly Rich, Newly Poor: Season 1",10,"Newly Rich, Newly Poor",2022-01-04,2021-09-26
TV (English),1,20100000,Cobra Kai: Season 3,9,Cobra Kai,2022-01-11,2022-01-09
Films (English),2,18890000,null,2,The Last Letter From Your Lover,2022-01-04,2021-08-01
Films (English),2,13560000,null,3,Worth,2022-01-04,2021-09-12
Films (English),2,8960000,null,3,Trollhunters: Rise of the Titans,2022-01-04,2021-08-01
Films (English),2,13270000,null,3,13 Hours: The Secret Soldiers of Benghazi,2022-02-15,2022-02-13
TV (Non-English),2,15640000,Valeria: Season 2,3,Valeria,2022-01-04,2021-08-22
Films (English),1,23580000,null,3,Beckett,2022-01-04,2021-08-15
Films (English),2,33630000,null,2,Home Team,2022-02-08,2022-02-06
Films (Non-English),1,2180000,null,10,Words Bubble Up Like Soda Pop,2022-01-04,2021-08-01
Films (Non-English),1,8610000,null,6,Rurouni Kenshin: The Beginning,2022-01-04,2021-08-01
TV (English),7,29480000,Maid: Limited Series,4,Maid,2022-01-04,2021-11-14
Films (Non-English),2,5560000,null,8,Bordertown: Mural Murders,2022-01-04,2021-12-12
TV (English),1,41100000,Too Hot to Handle: Season 3,3,Too Hot to Handle,2022-01-25,2022-01-23
Films (English),1,13920000,null,3,Venom,2022-01-04,2021-10-10
TV (English),5,11670000,You: Season 2,9,You,2022-01-04,2021-11-21
TV (Non-English),5,9370000,Money Heist: Part 1,10,Money Heist,2022-01-04,2021-10-03
Films (English),3,10750000,null,6,A Boy Called Christmas,2022-01-04,2021-12-12
TV (English),1,58380000,Never Have I Ever: Season 2,2,Never Have I Ever,2022-01-04,2021-07-18
Films (Non-English),1,6680000,null,5,Love and Leashes,2022-02-15,2022-02-13
Films (Non-English),2,2420000,null,7,Dynasty Warriors,2022-01-04,2021-07-11
TV (English),1,16900000,Jurassic World Camp Cretaceous: Season 4,7,Jurassic World Camp Cretaceous,2022-01-04,2021-12-05
Films (Non-English),5,1510000,null,8,Mimi,2022-01-04,2021-08-29
TV (English),1,19370000,Love Is Blind: Season 1,7,Love Is Blind,2022-01-04,2021-08-01
Films (Non-English),1,2210000,null,8,Tô Ryca,2022-01-04,2021-07-18
TV (English),4,26980000,Stay Close: Limited Series,4,Stay Close,2022-01-25,2022-01-23
Films (Non-English),1,8970000,null,4,Anonymously Yours,2022-01-04,2021-12-12
TV (English),3,20660000,Hit & Run: Season 1,2,Hit & Run,2022-01-04,2021-08-22
Films (Non-English),1,6510000,null,6,Parallel Mothers,2022-02-22,2022-02-20
TV (English),2,69860000,Sex/Life: Season 1,1,Sex/Life,2022-01-04,2021-07-11
Films (Non-English),4,3860000,null,4,The Forgotten Battle,2022-01-04,2021-11-07
Films (Non-English),3,3340000,null,6,Friendzone,2022-01-04,2021-10-17
TV (Non-English),1,49590000,Dark Desire: Season 2,3,Dark Desire,2022-02-08,2022-02-06
TV (English),1,18040000,Emily in Paris: Season 1,4,Emily in Paris,2022-01-04,2021-12-26
Films (Non-English),2,15120000,null,3,Kingdom: Ashin of the North,2022-01-04,2021-08-01
Films (Non-English),4,1450000,null,8,The Secret Diary of an Exchange Student,2022-01-04,2021-09-12
Films (English),3,11510000,null,5,Despicable Me 2,2022-02-22,2022-02-20
Films (English),2,13280000,null,4,The Power of the Dog,2022-01-04,2021-12-12
TV (Non-English),7,13050000,Hospital Playlist: Season 2,5,Hospital Playlist,2022-01-04,2021-09-19
TV (Non-English),4,23360000,Hometown Cha-Cha-Cha: Season 1,2,Hometown Cha-Cha-Cha,2022-01-04,2021-09-26
TV (English),1,13590000,The 100: Season 7,5,The 100,2022-01-04,2021-09-05
Films (English),1,28050000,null,1,Resort to Love,2022-01-04,2021-08-01
TV (Non-English),3,14020000,The Seven Deadly Sins: Dragon's Judgement,5,The Seven Deadly Sins,2022-01-04,2021-09-26
TV (Non-English),4,19260000,The Snitch Cartel: Origins: Season 1,1,The Snitch Cartel: Origins,2022-01-04,2021-08-22
TV (Non-English),12,9420000,Carinha de Anjo: Season 1,10,Carinha de Anjo,2022-01-04,2021-12-26
Films (Non-English),1,3850000,null,7,A Woman With No Filter,2022-03-01,2022-02-27
TV (English),3,60670000,The Witcher: Season 1,3,The Witcher,2022-01-04,2021-12-26
TV (Non-English),15,15100000,Squid Game: Season 1,5,Squid Game,2022-01-04,2021-12-26
Films (Non-English),1,2820000,null,6,Meenakshi Sundareshwar,2022-01-04,2021-11-07
Films (Non-English),2,6350000,null,3,Confessions of an Invisible Girl,2022-01-04,2021-10-03
Films (English),2,20000000,null,5,Spider-Man: Homecoming,2022-01-04,2021-12-26
TV (English),1,21630000,Cowboy Bebop: Season 1,6,Cowboy Bebop,2022-01-04,2021-11-21
TV (English),2,13870000,Cocaine Cowboys: The Kings of Miami: Limited Series,5,Cocaine Cowboys: The Kings of Miami,2022-01-04,2021-08-15
